ID,Category,Question,Choice1,Choice2,Choice3,Choice4,Explanation
310,不動産,所有権移転登記について一般に正しい説明はどれ？,売主と買主が共同して申請するのが原則である,買主だけが単独で必ず申請しなければならない,売主だけが単独で必ず申請しなければならない,登記は義務ではなく申請しても所有者は変わらない,所有権移転登記は、不動産の権利変動を公示する手続で、原則として権利を失う側（売主）と取得する側（買主）が共同して申請する。これにより、真の権利者を外部から確認でき、第三者に対する対抗関係が明確になる。登記をしないと当事者間で売買が無効になるわけではないが、第三者に権利を主張できないなど実務上の不利益が生じ得るため重要である。したがって「共同申請が原則」「公示と対抗の役割が核心」という2点で理解するのが適切である。
311,ライフプランニング,キャッシュフロー表を作成する主な目的は？,将来の収支と貯蓄残高の推移を把握するため,資産運用の利回りを必ず高めるため,税金を必ずゼロにするため,保険料を必ず下げるため,キャッシュフロー表は現在から将来にわたる収入と支出と貯蓄残高の推移を時系列で見える化する資料である。教育費や住宅費や老後資金などの大きな支出時期と資金不足の可能性を事前に把握し対策を検討するために作成する。
312,ライフプランニング,必要保障額の考え方として最も適切なのは？,遺族の必要生活費から見込める収入を差し引いて算出する,保険料が最も安い金額に合わせて決める,世帯年収の10倍に必ず固定する,貯蓄額は考慮せず一律で決める,必要保障額は万一のとき遺族が必要とする資金を基準に考える。遺族の生活費や教育費など必要額を見積もり遺族年金や配偶者の収入や貯蓄などの見込める資金を差し引いて不足分を保険で準備するという考え方が基本である。
313,リスク管理,生命保険契約の告知義務とは？,健康状態や職業など重要事項を正しく告知する義務,保険会社が必ず契約を引き受ける義務,保険料を将来必ず据え置く義務,事故が起きる前に必ず解約する義務,告知義務は保険契約の申込み時などに被保険者等が健康状態や既往症や職業など引受判断に影響する重要事項を正確に告知する義務である。告知が不十分または事実と異なる場合は契約解除などの不利益が生じ得るため正しく行う必要がある。
314,リスク管理,地震が原因の火災損害に備える保険として一般的に適切なのは？,地震保険,自動車保険,傷害保険,個人賠償責任保険,地震を原因とする火災や損壊などは火災保険だけでは補償対象外となるのが一般的である。そのため地震による損害に備えるには地震保険でカバーするのが基本であり火災保険とセットで加入する仕組みになっている。
315,金融資産運用,複利運用の特徴として適切なのは？,利息にも利息が付くため運用期間が長いほど効果が大きい,元本にだけ利息が付く,運用期間が長いほど利息の効果は小さくなる,必ず元本割れしない,複利は元本だけでなく途中で得た利息も次期以降の運用元本に組み入れて利息が計算される。したがって時間が経つほど利息が増える土台が大きくなり長期ほど増え方が加速しやすいという性質がある。
316,金融資産運用,債券の表面利率とは何を表す？,額面金額に対する年間利息の割合,購入価格に対する利息と売買差益を含む割合,将来のインフレ率の見込み,発行体の格付けの高さ,表面利率は額面に対して毎年支払われる利息の割合を示す。購入価格が額面と異なる場合は実際の運用成果は変わるが表面利率自体は額面基準で固定されているため利回りとは区別して理解する。
317,タックスプランニング,所得税の税率構造として適切なのは？,超過累進税率,比例税率,逆進税率,定額税率,所得税は課税所得が増えるほど高い税率部分が適用される超過累進税率で計算される。所得全体に一律の税率を掛ける方式ではなく所得階層ごとに税率が段階的に上がる仕組みである。
318,タックスプランニング,住民税の所得割の標準税率として一般的に正しいのは？,一律10％,一律5％,超過累進税率,一律20％,住民税の所得割は原則として一律の税率で課税され標準税率は10％である。所得税のように段階的に税率が上がる仕組みではないため所得が増えても所得割の税率自体は基本的に一定である。
319,不動産,不動産の所有権移転を第三者に対抗するために必要なものは？,登記,契約書の保管,領収書の保管,近隣への口頭通知,不動産の物権変動は当事者間の合意で成立するが第三者に対抗するには原則として登記が必要である。登記がないと同じ不動産について第三者が権利を主張した場合に自分の取得を主張できないおそれがあるため対抗要件として登記が重要となる。
320,相続,配偶者と子2人が相続人の場合の法定相続分は？,配偶者2分の1で子は各4分の1,配偶者3分の2で子は各6分の1,配偶者4分の3で子は各8分の1,配偶者は全てで子は0,配偶者と子が相続人のとき配偶者の法定相続分は2分の1で子全体で2分の1となる。子が2人の場合は子の2分の1を均等に分けるため各子は4分の1ずつが法定相続分となる。
321,ライフプランニング,国民年金の第1号被保険者に該当するのはどれ？,自営業者や学生などで第2号第3号に該当しない20歳以上60歳未満の者,会社員や公務員,会社員や公務員に扶養される配偶者,65歳以上で老齢基礎年金を受給している者,国民年金の被保険者は第1号第2号第3号に区分される。第1号は自営業者や学生や無職などで厚生年金の加入者ではなく他者の扶養配偶者でもない20歳以上60歳未満の人が対象となる。会社員や公務員は第2号であり被扶養配偶者は第3号である。
322,リスク管理,保険価額より保険金額が低い契約は一般に何と呼ばれる？,一部保険,超過保険,重複保険,無効契約,保険価額は損害保険での対象物の価値をいい保険金額は契約で設定する上限額である。保険金額が保険価額より低い場合は一部保険となり損害が生じても損害額の全額が支払われず一定割合で支払われるなど補償が目減りする可能性がある。
323,金融資産運用,投資信託の基準価額を説明するものとして適切なのは？,純資産総額を総口数で割って算出した1口当たりの価額,運用会社の利益率を示す指標,必ず1日1回だけ一定額で固定される価格,分配金の金額そのもの,基準価額は投資信託の値段の目安であり信託財産の純資産総額を総口数で割って計算する。運用による株価や債券価格の変動や信託報酬などの影響で日々変動し分配金とは別概念である。
324,タックスプランニング,医療費控除の控除額を計算する際に差し引くものとして正しいのは？,保険金などで補填される金額,給与所得の源泉徴収税額,住民税の均等割,社会保険料の本人負担額,医療費控除は実際に支払った医療費のうち自己負担した部分を基に計算する。したがって入院給付金や高額療養費など保険金等で補填された金額は二重取りを防ぐため支払医療費から差し引く。さらに一定の自己負担限度として10万円または総所得金額等の5パーセントのいずれか低い方を差し引いた残額が控除対象となる。
325,不動産,固定資産税の納税義務者として原則正しいのは？,その年の1月1日時点で固定資産課税台帳に所有者として登録されている者,売買契約書に署名した者なら誰でも,不動産会社の仲介担当者,実際に居住している借主,固定資産税は地方税であり課税の基準日は原則として毎年1月1日である。基準日に固定資産課税台帳に所有者として登録されている人がその年度の納税義務者となる。売買や引渡しのタイミングと納税義務者が一致しないことがあるため実務では精算を取り決めることが多い。
326,相続,死亡保険金の相続税の非課税限度額として正しいのは？,500万円×法定相続人数,3000万円＋600万円×法定相続人数,1000万円×受取人の人数,一律500万円,相続税では一定の死亡保険金はみなし相続財産として課税対象になり得る一方で遺族の生活保障の観点から非課税枠が設けられている。非課税限度額は500万円に法定相続人数を掛けた金額でありこの範囲内の死亡保険金は相続税がかからない。
327,ライフプランニング,収入保障保険の一般的な特徴として適切なのは？,保障期間の経過とともに受取総額が逓減し保険料が割安になりやすい,満期まで受取額が一定で必ず増える,途中解約しても払込保険料は必ず全額戻る,医療費の自己負担額だけを補償する,収入保障保険は遺族の生活費を一定期間カバーする発想で設計されることが多く必要保障額が時間とともに減る家計に合わせやすい。一般に死亡時期が遅いほど受取期間が短くなるため受取総額が逓減し同じ保障規模の定期保険より保険料が抑えられる傾向がある。
328,リスク管理,自賠責保険の補償対象として正しいのは？,他人を死傷させた対人賠償のみ,自分の車の修理費,他人の車や物への対物賠償,運転者自身のけがの補償,自賠責保険は自動車損害賠償保障法に基づく強制保険で被害者救済を目的としている。そのため補償は原則として対人損害に限定され対物損害や自分の車の損害や運転者自身の傷害は補償されない。これらは任意保険で備えるのが一般的である。
329,金融資産運用,外貨預金の主なリスクとして適切なのは？,為替相場の変動により円換算の元本が増減する,必ず日本の預金保険制度で全額保護される,金利が必ずゼロになる,株式の配当が必ず受け取れる,外貨預金は外貨で運用するため満期時に円へ戻す場合などに為替レートの影響を受ける。預入時より円高になると円換算の受取額が減り元本割れとなることがある。金利だけでなく為替差損益も運用結果を左右する点が重要である。
330,タックスプランニング,所得控除と税額控除の違いとして適切なのは？,所得控除は課税所得を減らし税額控除は算出税額から直接差し引く,所得控除は税額から直接差し引き税額控除は課税所得を減らす,どちらも必ず同じ計算順序で同じ効果になる,税額控除は住民税にだけ適用され所得税には適用されない,所得控除は所得金額から差し引いて課税所得を小さくする仕組みで税率を掛ける前に効く。一方で税額控除は計算された税額から一定額を直接差し引くため同じ金額でも節税効果が分かりやすく大きくなりやすい。両者は控除のタイミングと効果の出方が異なるため区別して理解する必要がある。
331,ライフプランニング,老齢基礎年金の受給開始年齢（原則）は？,65歳,60歳,70歳,一律62歳,老齢基礎年金は国民年金の老齢給付であり原則として65歳から受給開始となる。繰上げ受給や繰下げ受給により開始年齢を変更できる制度はあるが「原則」の開始年齢は65歳であるため設問では65歳が正解となる。
332,リスク管理,地震による火災や損壊の損害をカバーする保険の考え方として適切なのは？,火災保険だけでは地震損害は原則補償されず地震保険の付帯が必要,火災保険は地震損害を自動的に全額補償する,自動車保険を付ければ建物の地震損害も補償される,生命保険を付ければ住宅の修理費が支払われる,地震が原因の火災や倒壊などの損害は火災保険の一般的な補償範囲から除外されているのが原則である。したがって地震による損害に備えるには火災保険に地震保険を付帯する形で契約する必要がある。補償の対象や支払限度も火災保険とは別枠で設計されている点が重要である。
333,金融資産運用,株価収益率（PER）の説明として適切なのは？,株価を1株当たり利益（EPS）で割った指標,1株当たり配当を株価で割った指標,株価を純資産で割った指標,企業の売上高を株数で割った指標,PERは株価が利益水準に対して割高か割安かをみる代表的な指標で株価÷EPSで計算する。配当利回りは配当÷株価でありPBRは株価÷1株当たり純資産であるため別指標である。PERは利益が変動すると数値も変わり同業比較などで目安として用いられる。
334,タックスプランニング,給与所得者が年末調整で適用を受けられず確定申告が必要になりやすいのはどれ？,医療費控除,社会保険料控除,配偶者控除,扶養控除,年末調整は勤務先が一定の所得控除を反映して税額を精算する仕組みだが医療費控除や寄附金控除などは原則として年末調整では処理できず本人が確定申告で適用を受ける必要がある。社会保険料控除や配偶者控除扶養控除は年末調整で反映されるのが一般的でありこの違いを押さえることが重要である。
335,不動産,建ぺい率の説明として正しいのは？,敷地面積に対する建築面積の割合,敷地面積に対する延べ床面積の割合,延べ床面積に対する建築面積の割合,建物の高さに対する敷地の幅の割合,建ぺい率は敷地に対して建物がどの程度の面積を占めるかを制限する指標で建築面積÷敷地面積で表す。延べ床面積を用いるのは容積率であり用途地域等の規制とあわせて建物規模を決める重要な基準となる。建築面積は通常1階部分の水平投影面積を指す点も押さえる。
336,相続,相続放棄の効果として適切なのは？,最初から相続人でなかったものとみなされる,借金だけを放棄して財産だけ相続できる,遺産分割協議後でもいつでも自由に撤回できる,相続税の申告期限が自動的に延長される,相続放棄は家庭裁判所への申述により行い受理されるとその人は初めから相続人でなかったものとして扱われる。したがってプラスの財産だけ相続しマイナスの財産だけ放棄するという選択はできない。また期限や手続があり撤回も原則として簡単にはできないため早期の判断と手続理解が重要である。
337,ライフプランニング,企業型確定拠出年金（企業型DC）の一般的な特徴として適切なのは？,掛金は原則として事業主が拠出し加入者が運用商品を選ぶ,掛金は必ず加入者が全額負担する,iDeCoと同じで誰でも必ず加入できる,運用成果に関係なく将来の受取額が確定している,企業型DCは企業が制度として導入し掛金は原則として事業主拠出である一方加入者が運用商品を選択し運用結果によって将来受け取る年金額が変動する。確定給付型と違い給付額は保証されない。加入対象はその企業の制度設計に基づくため誰でも加入できるわけではない点も重要である。
338,リスク管理,損害保険で同じ目的物に対して複数の保険契約を結ぶことを一般に何という？,重複保険,一部保険,超過保険,再保険,同一の目的物に対して同じ危険をカバーする契約が複数存在する状態を重複保険という。重複保険がある場合でも損害保険は実損填補が原則であり損害額を超えて保険金を受け取ることはできない。結果として各保険会社が負担割合に応じて支払うなど調整が行われるため契約内容の整理が重要である。
339,金融資産運用,分散投資の説明として適切なのは？,資産や地域や時間を分けて投資し価格変動リスクを抑える考え方,1つの銘柄に集中して期待収益を最大化する方法,必ず元本が保証される投資方法,投資期間を短くするほど必ず利益が出る方法,分散投資は価格変動や信用不安などの影響を一点集中にしないための基本戦略で資産クラス（株式債券不動産など）地域（国内外）時間（積立投資など）を分けて投資する。これにより特定要因による損失が全体に与える影響を小さくしリスクを平準化しやすくなる。分散しても損失がゼロになるわけではないがリスク管理の重要な手段である。
340,タックスプランニング,住民税の特徴として一般に正しいのは？,前年の所得を基に課税されるのが原則である,当年の所得が確定する前に当年分として課税される,所得税と同様に必ず年末調整で全て精算される,課税主体は国だけで地方自治体は関与しない,住民税は地方税であり原則として前年（1月1日から12月31日）の所得を基に翌年度に課税されるため所得税よりタイムラグがある。会社員は特別徴収で毎月天引きされることが多いがこれは納付方法の違いであり年末調整で住民税まで完全に精算する仕組みではない。課税主体は都道府県と市区町村である点もあわせて整理すると理解が安定する。
341,ライフプランニング,国民年金の第1号被保険者に該当するのは一般にどれ？,自営業者や学生などで会社員等ではない20歳以上60歳未満の人,会社員として厚生年金に加入している人,会社員に扶養されている配偶者（一定要件を満たす人）,75歳以上で後期高齢者医療制度の対象の人,国民年金は被保険者を第1号?第3号に区分する。第1号は自営業者・学生・無職など「会社員等（第2号）でも、その被扶養配偶者（第3号）でもない」20歳以上60歳未満の人が中心となる。会社員は厚生年金加入により第2号であり、その扶養配偶者は要件を満たせば第3号となるため区分を取り違えないことが重要である。
342,リスク管理,生命保険の「保険料払込免除特約」の一般的な内容として適切なのは？,所定の高度障害状態などになると以後の保険料の払込みが免除され保障は継続する,保険事故が起きると必ず保険金が2倍になる,途中解約しても必ず払込保険料が全額戻る,保険料を払わなくても契約者が自由に保障額を増減できる,保険料払込免除特約は、契約で定めた事由（高度障害状態、がん診断、特定疾病など商品ごとに異なる）に該当すると、以後の保険料支払いが不要になっても契約は有効のまま保障が継続するという仕組みである。保険金が自動的に増える特約ではなく、解約返戻や保障額変更の自由度を保証するものでもない。免除となる「所定事由」と対象保険料の範囲を理解することがポイントである。
343,金融資産運用,利回り（年率）の意味として最も適切なのは？,投資元本に対する1年間の収益の割合,投資期間の長さそのもの,必ず受け取れる元本保証の割合,購入時点の為替レートの変化率だけを示す,利回りは一般に「元本（投資金額）に対してどれだけ収益が得られたか」を割合で示したもので、年率で表すと1年間当たりの収益率を意味する。収益には利子・配当・売買差益などが含まれ得るが、何を収益に含めるか（表面利回り、実質利回り等）で数値が変わる。期間や為替だけを指す概念ではなく、元本に対する収益の尺度である点が核心となる。
344,タックスプランニング,所得税における「源泉徴収」の説明として適切なのは？,給与や報酬の支払者が税額をあらかじめ差し引いて納付する仕組み,納税者が毎月税務署へ自分で持参して納付する仕組み,住民税だけに適用される仕組み,確定申告をした人だけが利用できる仕組み,源泉徴収は、給与や報酬などを支払う側（会社等）が、支払時に所得税等を差し引いて国に納付する制度である。納税者本人が都度納付するのではなく、一定の所得については先に税が徴収される。給与所得者は年末調整で精算される場合が多いが、源泉徴収そのものは「支払時点で差し引く」仕組みである点を押さえると理解が一貫する。
345,不動産,不動産登記における「抵当権」の目的として適切なのは？,債務不履行時に不動産を担保として優先的に弁済を受けるため,賃貸借契約の更新料を免除するため,不動産の固定資産税を減額するため,建物の耐震性能を証明するため,抵当権は金融機関などが貸付金の回収を確実にするため不動産に設定する担保権である。債務者が返済できない場合、抵当権者は競売等により換価し、他の債権者に優先して弁済を受けられる。税金減額や賃貸借の条件変更、性能証明とは無関係で、あくまで「担保として優先弁済を確保する」ことが本質である。
346,相続,遺産分割協議の成立要件として一般に正しいのは？,相続人全員の合意が必要,相続人の過半数の合意で足りる,配偶者がいれば配偶者の同意だけで成立する,相続税を納付した人の意思だけで成立する,遺産分割協議は、法定相続分と異なる分け方をする場合などに相続人が話し合って合意する手続で、原則として相続人全員の合意が必要である。誰か1人でも同意しないと協議は成立せず、遺産分割協議書の作成や登記手続も進められない。過半数や特定の相続人だけでは足りない点が、実務上の最大の注意点となる。
347,ライフプランニング,傷病手当金（健康保険）の一般的な要件として適切なのは？,業務外の病気やけがで働けず給与が支払われない（または減額）期間に一定要件で支給される,業務上のけがで休業した場合に労災保険として支給される,退職後は必ず誰でも無条件で支給される,医療費の自己負担分を全額払い戻す制度である,傷病手当金は健康保険の給付で、業務外の病気やけがで就労できず、給与の支払いがない（または一部）場合に、一定期間の待期等の要件を満たすと生活保障として支給される。業務上の災害は労災保険の対象となるのが原則で、性質が異なる。医療費の払い戻し制度でもなく、退職後の取扱いも要件があるため「目的と対象」を区別して覚えるのが要点である。
348,リスク管理,個人賠償責任保険（特約を含む）が補償対象となりやすい例はどれ？,自転車で他人にけがをさせ損害賠償責任を負った,加入者本人の病気による入院費を支払う,自分の自動車の修理費を支払う,株式投資の損失を補填する,個人賠償責任保険は、日常生活に起因する偶然な事故で他人にけがをさせたり他人の物を壊したりして法律上の損害賠償責任を負った場合に備える保険である。典型例が自転車事故での対人・対物賠償で、近年ニーズが高い。医療費（傷害・医療保険）、車の修理費（車両保険）、投資損失（補償対象外）とは性格が異なるため、補償の対象が「賠償責任」である点を明確にする。
349,金融資産運用,債券価格と市場金利の関係として適切なのは？,市場金利が上昇すると一般に既発債の価格は下落する,市場金利が上昇すると一般に既発債の価格は上昇する,市場金利が変動しても債券価格は常に一定である,市場金利が下落すると一般に既発債の価格は下落する,債券の利率（クーポン）は発行時に固定されることが多く、市場金利が上昇すると新発債の利回りが高くなるため、相対的に利回りの低い既発債は価格を下げて利回りが市場水準に近づくよう調整される。逆に市場金利が下落すると既発債の相対的価値が高まり価格が上昇しやすい。この「金利と価格は逆方向」という関係は債券の基本論点であり、満期までの残存期間が長いほど価格変動が大きくなりやすい点も併せて理解するとよい。
350,タックスプランニング,消費税の課税取引に該当しやすいものはどれ？,国内で事業として対価を得て行う商品の販売,海外でのみ行った役務提供,日本銀行券の譲渡（お金の交換）,寄附金の受領（対価性がないもの）,消費税は原則として「国内において事業者が事業として対価を得て行う資産の譲渡・貸付けや役務の提供」に課税される。したがって国内で対価を得て行う販売は課税取引に該当しやすい。一方、対価性のない寄附は課税対象になりにくく、通貨の譲渡や一定の非課税取引もある。設問では課税要件のキーワード（国内・事業・対価）に合致するかで判断するのが基本である。
351,ライフプランニング,雇用保険の基本手当（いわゆる失業給付）を受けるための原則的な要件として適切なのは？,働く意思と能力があり求職活動をしているにもかかわらず就職できない状態であること,退職後は求職しなくても自動的に全員が受給できること,病気療養中で働けない状態であること,学生で在学中であること,基本手当は「失業している人」に広く出る給付ではなく、就職する意思と能力があり、積極的に求職活動をしているのに就職できない状態にあることが前提となる。つまり“就職可能なのに就職できない”ことを支える制度であるため、病気などで就職できる状態にない場合は原則として受給の前提を満たしにくい。受給には所定の被保険者期間なども関係するが、設問の核心は「求職の意思・能力と求職活動」が必須という点である。
352,ライフプランニング,年金の「繰上げ受給」の一般的な特徴として適切なのは？,受給開始を早める代わりに年金額が減額されその減額は原則として生涯続く,受給開始を早めても年金額は変わらない,受給開始を早めると年金額は増額される,繰上げ受給をしても後から全額元に戻せる,繰上げ受給は、本来の受給開始年齢より前に受け取りを開始できる制度である一方、早めた分だけ年金額が一定率で減額され、原則としてその減額率は生涯固定となる。短期的には早く受け取れるメリットがあるが、長期的には毎回の受給額が小さくなるデメリットがあるため、ライフプランの観点では寿命見通し、就労状況、他の収入や資産、税・社会保険料への影響も含めて検討する必要がある。
353,リスク管理,火災保険の補償対象として一般に適切なのはどれ？,失火やもらい火を含む火災による建物や家財の損害,自動車事故による車両の修理費,株価下落による資産の損失,病気による入院費用,火災保険は、火災を中心に、落雷・破裂爆発など商品で定められた偶然な事故により、建物や家財に生じた損害を補償するのが基本である。自動車の損害は自動車保険、投資損失は原則として保険で補填されず、入院費は医療保険や傷害保険の領域となる。何に対する損害（建物・家財か）と、原因となる事故（火災等か）をセットで整理すると判断しやすい。
354,リスク管理,自動車保険の「対人賠償保険」の役割として最も適切なのは？,自動車事故で他人を死傷させ法律上の損害賠償責任を負った場合に補償する,自分の車の修理費用を補償する,自分のけがの治療費を補償する,ガソリン代や駐車場代を補助する,対人賠償保険は、事故で他人にけがをさせたり死亡させたりした際に、運転者（被保険者）が負う法律上の損害賠償責任をカバーする。自分の車の損害は車両保険、自分のけがは人身傷害保険や搭乗者傷害保険などで守るのが一般的で、補償の対象が「他人への賠償責任」である点が最重要となる。強制保険（自賠責）で不足する部分を補う位置付けも理解すると整理がつく。
355,金融資産運用,株式投資の「配当利回り」の説明として適切なのは？,株価に対する1株当たり配当金の割合,株価が必ず上昇する割合,売買差益だけを示す割合,企業の売上高に対する配当金総額の割合,配当利回りは一般に「1株当たり配当金 ÷ 株価」で算出され、投資額（株価）に対してどれだけ配当を受け取れるかの目安となる。株価が下がると見かけ上の利回りが上がることもあるため、利回りの高さだけで良否は判断できない。配当は企業業績や配当方針で変動し得る点、また投資収益は配当だけでなく売買差益も含む点を区別して理解することが重要である。
356,金融資産運用,投資信託の「基準価額」の一般的な意味として適切なのは？,投資信託の1口（または1万口）当たりの時価評価額,投資信託の将来の利益が保証される最低価格,販売会社が自由に決める固定価格,投資信託の分配金の支払回数,基準価額は、投資信託が保有する株式・債券などの資産を時価で評価し、信託財産から費用等を控除した純資産総額を口数で割って算出される“1口当たりの値段”である。将来の利益や最低価格を保証するものではなく、保有資産の価格変動により日々上下する。分配金が出るとその分だけ基準価額が下がる仕組みがあるため、「値上がり＝利益」「分配＝得」と短絡せず、トータルリターンで見る姿勢がポイントとなる。
357,タックスプランニング,給与所得者の年末調整の主な目的として適切なのは？,給与から源泉徴収された所得税をその年の年税額に合わせて精算すること,住民税を会社が一括で免除すること,相続税の申告を簡略化すること,消費税の納税義務をなくすこと,年末調整は、毎月の給与から概算で源泉徴収されている所得税について、扶養控除や保険料控除などの情報を反映し、1年分の税額（年税額）に合わせて過不足を精算する手続である。これにより多くの給与所得者は確定申告をしなくても所得税の精算が完結する。住民税は別途課税され、相続税・消費税とは制度趣旨が異なるため、年末調整の役割は「所得税の精算」に限定して押さえるのが適切である。
358,タックスプランニング,所得控除のうち「基礎控除」の一般的な特徴として適切なのは？,原則として多くの納税者に適用され所得金額から一定額を差し引く控除,医療費を支払った人だけが必ず受けられる控除,住宅ローンを組んだ人だけが受けられる控除,事業者だけが受けられる控除,基礎控除は、所得税の計算において所得金額から差し引ける控除の一つで、原則として幅広い納税者に適用される（ただし所得水準により控除額が変動・制限される仕組みがある）。医療費控除や住宅ローン控除（税額控除）などのように特定の支出や要件に限定されるものとは性格が異なり、「まず基礎控除があり、そこに各種控除が追加される」という構造を理解すると整理しやすい。
359,不動産,不動産の「借地権」の説明として適切なのは？,他人の土地を借りて建物を所有するための権利,他人の建物を借りて住むための権利（賃借権）,土地を担保にして借入をするための権利（抵当権）,土地の境界を確定させるための権利,借地権は、土地の所有者から土地を借り、そこに建物を所有することを目的とする権利である。建物を借りて使用する賃借（借家）とは対象が異なり、借地は“土地”、借家は“建物”が中心となる。抵当権は担保権であり利用目的が異なる。借地権では存続期間や更新、地代、譲渡・建替えの制限など実務上の論点が多く、権利の対象と目的を押さえることが理解の入口となる。
360,相続,遺言の方式のうち「自筆証書遺言」の一般的な特徴として適切なのは？,遺言者が全文・日付・氏名を自書し押印して作成する方式,公証人が必ず作成し原本を公証役場で保管する方式,証人2人以上の立会いが不要で内容の口述だけで成立する方式,家庭裁判所が作成しなければ無効となる方式,自筆証書遺言は、遺言者が自分で作成できる方式で、原則として遺言の全文、日付、氏名を自書し押印することが成立要件となる。公証人が作成するのは公正証書遺言であり、方式が異なる。自筆証書は手軽な一方、方式不備による無効や紛失・改ざんリスクが課題になりやすく、作成要件を厳格に守ること、保管方法を工夫することが実務上の重要点となる。
361,ライフプランニング,老齢基礎年金を受給するための受給資格期間として一般に必要なのは？,原則として10年以上,原則として5年以上,原則として15年以上,原則として25年以上,老齢基礎年金は保険料を納めた期間だけでなく保険料免除期間や合算対象期間なども含めて受給資格期間を判定し原則として10年以上あることが受給の前提となる。重要なのは金額の多寡ではなく受給権そのものが発生するかどうかの要件でありまず10年を満たすかを確認する。満たさない場合は受給できないため追納や任意加入などを検討する入口になる。
362,ライフプランニング,国民年金保険料の免除期間に関する説明として適切なのは？,受給資格期間には算入される,免除期間は年金制度上まったく記録されない,免除期間があると将来の年金は必ず満額になる,免除期間は受給資格期間にも算入されない,国民年金の免除期間は将来の年金額の計算では全額納付より不利になり得る一方で受給資格期間の判定には算入されるのがポイントである。つまり免除は将来額を減らす可能性はあるが受給権を確保する意味が大きい。免除後に追納できる制度もあり将来額を補う選択肢があるため免除の意味を受給権と年金額の二軸で理解すると整理しやすい。
363,リスク管理,医療保険で一般に支払事由となりやすいのはどれ？,病気やけがによる入院や手術など所定の医療行為,自動車事故で他人に与えた損害賠償,火災による建物の焼失,株式の値下がり損失,医療保険は被保険者本人の治療に関する費用負担を支える仕組みで入院給付金や手術給付金など商品で定めた医療行為が支払事由となる。対人賠償は賠償責任保険の領域であり火災損害は火災保険投資損失は保険で補填しないのが原則である。誰の損害か本人か第三者かと損害の種類が医療か財物か金融かを分けると判断できる。
364,リスク管理,損害保険の保険金支払に関する「実損填補」の考え方として適切なのは？,原則として実際に生じた損害額を限度に補償する,事故が起きたら損害額に関係なく定額を必ず支払う,保険金は保険料の累計額までしか支払われない,事故原因が偶然でなくても支払われる,損害保険は利益を得るためではなく損害を埋めることを目的とし実際の損害額を上限として補償するのが基本である。これが実損填補であり同じ損害について二重に受け取って儲けることは想定されない。定額給付が中心の生命保険とは性格が異なるため保険の種類ごとに支払の発想が違う点を押さえると誤解が減る。
365,金融資産運用,分散投資の効果として最も適切なのは？,値動きの異なる資産に分けることで価格変動リスクを抑えることが期待できる,投資元本が法律上必ず保証される,短期間で必ず高い利益が得られる,どの資産に投資しても同じ成績になる,分散投資は複数の資産や地域時間に分けて投資することで一部が下落しても他で補いやすくなり値動きのブレを小さくすることが期待できる。期待できるのであって損失がゼロになるわけでも元本保証でもない。相関が低い資産を組み合わせるほど効果が出やすいという考え方が核でありリスクを抑えつつ長期で運用する基本戦略として位置付けられる。
366,金融資産運用,債券投資における「信用リスク」の説明として適切なのは？,発行体の財務悪化などにより利息や元本の支払いが滞る可能性,市場金利の変動により価格が変動する可能性,為替相場の変動により円換算額が変動する可能性,購入時より必ず高く売れる可能性,信用リスクは発行体が約束通り利息や元本を支払えなくなる可能性でありデフォルトリスクとも関連する。金利変動で価格が動くのは金利リスクで為替による変動は為替リスクである。債券は安全と言われがちだが発行体や格付けで信用リスクは異なるため利回りの高さだけで判断せず何のリスクの対価として利回りがあるのかを理解することが重要である。
367,タックスプランニング,所得控除と税額控除の違いとして適切なのは？,所得控除は課税所得を減らし税額控除は算出した税額から直接差し引く,所得控除は税額から直接差し引き税額控除は課税所得を減らす,どちらも課税所得を増やす仕組みである,どちらも住民税にしか適用されない,所得控除は所得金額から差し引いて課税対象となる所得を小さくする仕組みでその後に税率を掛けて税額を計算する。税額控除は計算された税額そのものから直接差し引くため同じ控除額でも一般に節税効果が分かりやすく大きく感じやすい。どの段階で控除するかが本質であり計算手順を意識すると区別が明確になる。
368,タックスプランニング,給与所得者が確定申告を行う必要が生じる代表例として適切なのは？,給与以外の所得があり一定の条件で申告が必要になる場合,年末調整を受けた人はどんな場合でも申告できない,住民税の納付がある場合は必ず確定申告が必要,給与が支払われた月は毎月確定申告が必要,年末調整で所得税の精算が完結する人が多い一方で給与以外の所得がある場合などは確定申告が必要になることがある。たとえば副業所得や不動産所得などが一定条件に該当すると申告義務が生じる。確定申告はできないのではなく必要に応じて行う手続であり住民税や毎月申告といった誤解を避けるためにも所得の種類と申告要否の関係を押さえることが重要である。
369,不動産,固定資産税の納税義務者として一般に適切なのは？,原則として賦課期日現在の固定資産課税台帳の所有者,その不動産を借りて住んでいる賃借人,不動産会社が一律に負担する,売買契約書を作成した仲介業者,固定資産税は土地や家屋などの固定資産に対して課税され原則として賦課期日現在に固定資産課税台帳に登録されている所有者が納税義務者となる。実際の負担は売買や賃貸の契約で精算することがあっても税法上の納税義務者の原則は所有者である点が重要である。誰が使用しているかではなく誰が所有者として登録されているかで判断する。
